ID,D3FEND Tactic,D3FEND Technique,D3FEND Technique Level 0,D3FEND Technique Level 1,Definition
D3-AI,Model,Asset Inventory,,,
D3-CI,Model,,Configuration Inventory,,Configuration inventory identifies and records the configuration of software and hardware and their components throughout the organization.
D3-DI,Model,,Data Inventory,,"Data inventorying identifies and records the schemas, formats, volumes, and locations of data stored and used on the organization's architecture."
D3-SWI,Model,,Software Inventory,,Software inventorying identifies and records the software items in the organization's architecture.
D3-AVE,Model,,Asset Vulnerability Enumeration,,Asset vulnerability enumeration enriches inventory items with knowledge identifying their vulnerabilities.
D3-NNI,Model,,Network Node Inventory,,"Network node inventorying identifies and records all the network nodes (hosts, routers, switches, firewalls, etc.) in the organization's architecture."
D3-HCI,Model,,Hardware Component Inventory,,Hardware component inventorying identifies and records the hardware items in the organization's architecture.
D3-NM,Model,Network Mapping,,,
D3-LLM,Model,,Logical Link Mapping,,
D3-ALLM,Model,,,Active Logical Link Mapping,"Active logical link mapping sends and receives network traffic as a means to map the whole data link layer, where the links represent logical data flows rather than physical connection"
D3-PLLM,Model,,,Passive Logical Link Mapping,"Passive logical link mapping only listens to network traffic as a means to map the the whole data link layer, where the links represent logical data flows rather than physical connections."
D3-NVA,Model,,Network Vulnerability Assessment,,"Network vulnerability assessment relates all the vulnerabilities of a network's components in the context of their configuration and interdependencies and can also include assessing risk emerging from the network's design as a whole, not just the sum of individual network node or network segment vulnerabilities."
D3-PLM,Model,,Physical Link Mapping,,
D3-APLM,Model,,,Active Physical Link Mapping,Active physical link mapping sends and receives network traffic as a means to map the physical layer.
D3-PPLM,Model,,,Passive Physical Link Mapping,Passive physical link mapping only listens to network traffic as a means to map the physical layer.
D3-NTPM,Model,,Network Traffic Policy Mapping,,"Network traffic policy mapping identifies and models the allowed pathways of data at the network, tranport, and/or application levels."
D3-OAM,Model,Operational Activity Mapping,,,
D3-AM,Model,,Access Modeling,,"Access modeling identifies and records the access permissions granted to administrators, users, groups, and systems."
D3-ODM,Model,,Operational Dependency Mapping,,"Operational dependency mapping identifies and models the dependencies of the organization's activities on each other and on the organization's performers (people, systems, and services.)  This may include modeling the higher- and lower-level activities of an organization forming a hierarchy, or layering, of the dependencies in an organization's activities."
D3-ORA,Model,,Operational Risk Assessment,,"Operational risk assessment identifies and models the vulnerabilities of, and risks to, an organization's activities individually and as a whole."
D3-OM,Model,,Organization Mapping,,"Organization mapping identifies and models the people, roles, and groups with an organization and the relations between them."
D3-SYSM,Model,System Mapping,,,
D3-DEM,Model,,Data Exchange Mapping,,"Data exchange mapping identifies and models the organization's intended design for the flows of the data types, formats, and volumes between systems at the application layer."
D3-SVCDM,Model,,Service Dependency Mapping,,Service dependency mapping determines the services on which each given service relies.
D3-SYSDM,Model,,System Dependency Mapping,,System dependency mapping identifies and models the dependencies of system components on each other to carry out their function.
D3-SYSVA,Model,,System Vulnerability Assessment,,"System vulnerability assessment relates all the vulnerabilities of a system's components in the context of their configuration and internal dependencies and can also include assessing risk emerging from the system's design as a whole, not just the sum of individual component vulnerabilities."
D3-MH,Harden,Message Hardening,,,
D3-MAN,Harden,,Message Authentication,,Authenticating the sender of a message and ensuring message integrity.
D3-MENCR,Harden,,Message Encryption,,Encrypting a message body using a cryptographic key.
D3-TAAN,Harden,,Transfer Agent Authentication,,Validating that server components of a messaging infrastructure are authorized to send a particular message.
D3-CH,Harden,Credential Hardening,,,
D3-BAN,Harden,,Biometric Authentication,,Using biological measures in order to authenticate a user.
D3-CBAN,Harden,,Certificate-based Authentication,,Requiring a digital certificate in order to authenticate a user.
D3-CP,Harden,,Certificate Pinning,,Persisting either a server's X509 certificate or their public key and comparing that to server's presented identity to allow for greater client confidence in the remote server's identity for SSL connections.
D3-CTS,Harden,,Credential Transmission Scoping,,Limiting the transmission of a credential to a scoped set of relying parties.
D3-DTP,Harden,,Domain Trust Policy,,Restricting inter-domain trust by modifying domain configuration.
D3-MFA,Harden,,Multi-factor Authentication,,Requiring proof of two or more pieces of evidence in order to authenticate a user.
D3-OTP,Harden,,One-time Password,,A one-time password is valid for only one user authentication.
D3-SPP,Harden,,Strong Password Policy,,Modifying system configuration to increase password strength.
D3-UAP,Harden,,User Account Permissions,,Restricting a user account's access to resources.
D3-PH,Harden,Platform Hardening,,,
D3-BA,Harden,,Bootloader Authentication,,Cryptographically authenticating the bootloader software before system boot.
D3-DENCR,Harden,,Disk Encryption,,Encrypting a hard disk partition to prevent cleartext access to a file system.
D3-DLIC,Harden,,Driver Load Integrity Checking,,Ensuring the integrity of drivers loaded during initialization of the operating system.
D3-FE,Harden,,File Encryption,,Encrypting a file using a cryptographic key.
D3-LFP,Harden,,Local File Permissions,,Restricting access to a local file by configuring operating system functionality.
D3-RFS,Harden,,RF Shielding,,Adding physical barriers to a platform to prevent undesired radio interference.
D3-SU,Harden,,Software Update,,Replacing old software on a computer system component.
D3-SCP,Harden,,System Configuration Permissions,,Restricting system configuration modifications to a specific user or group of users.
D3-TBI,Harden,,TPM Boot Integrity,,Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running.  Sometimes called Static Root of Trust Measurement (STRM).
D3-AH,Harden,Application Hardening,,,
D3-ACH,Harden,,Application Configuration Hardening,,Modifying an application's configuration to reduce its attack surface.
D3-DCE,Harden,,Dead Code Elimination,,"Removing unreachable or ""dead code"" from compiled source code."
D3-EHPV,Harden,,Exception Handler Pointer Validation,,Validates that a referenced exception handler pointer is a valid exception handler.
D3-PAN,Harden,,Pointer Authentication,,Comparing the cryptographic hash or derivative of a pointer's value to an expected value.
D3-PSEP,Harden,,Process Segment Execution Prevention,,Preventing execution of any address in a memory region other than the code segment.
D3-SAOR,Harden,,Segment Address Offset Randomization,,Randomizing the base (start) address of one or more segments of memory during the initialization of a process.
D3-SFCV,Harden,,Stack Frame Canary Validation,,Comparing a value stored in a stack frame with a known good value in order to prevent or detect a memory segment overwrite.
D3-NTA,Detect,Network Traffic Analysis,,,
D3-ANAA,Detect,,Administrative Network Activity Analysis,,Detection of unauthorized use of administrative network protocols by analyzing network activity against a baseline.
D3-BSE,Detect,,Byte Sequence Emulation,,Analyzing sequences of bytes and determining if they likely represent malicious shellcode.
D3-CA,Detect,,Certificate Analysis,,
D3-ACA,Detect,,,Active Certificate Analysis,Actively collecting PKI certificates by connecting to the server and downloading its server certificates for analysis.
D3-PCA,Detect,,,Passive Certificate Analysis,"['Collecting host certificates from network traffic or other passive sources like a certificate transparency log and analyzing them for unauthorized activity.', 'Passively collecting certificates and analyzing them.']"
D3-CSPP,Detect,,Client-server Payload Profiling,,Comparing client-server request and response payloads to a baseline profile to identify outliers.
D3-CAA,Detect,,Connection Attempt Analysis,,Analyzing failed connections in a network to detect unauthorized activity.
D3-DNSTA,Detect,,DNS Traffic Analysis,,"Analysis of domain name metadata, including name and DNS records, to determine whether the domain is likely to resolve to an undesirable host."
D3-FC,Detect,,File Carving,,Identifying and extracting files from network application protocols through the use of network stream reassembly software.
D3-ISVA,Detect,,Inbound Session Volume Analysis,,Analyzing inbound network session or connection attempt volume.
D3-IPCTA,Detect,,IPC Traffic Analysis,,Analyzing standard inter process communication (IPC) protocols to detect deviations from normal protocol activity.
D3-NTCD,Detect,,Network Traffic Community Deviation,,Establishing baseline communities of network hosts and identifying statistically divergent inter-community communication.
D3-PHDURA,Detect,,Per Host Download-Upload Ratio Analysis,,Detecting anomalies that indicate malicious activity by comparing the amount of data downloaded versus data uploaded by a host.
D3-PMAD,Detect,,Protocol Metadata Anomaly Detection,,Collecting network communication protocol metadata and identifying statistical outliers.
D3-RPA,Detect,,Relay Pattern Analysis,,The detection of an internal host relaying traffic between the internal network and the external network.
D3-RTSD,Detect,,Remote Terminal Session Detection,,Detection of an unauthorized remote live terminal console session by examining network traffic to a network host.
D3-RTA,Detect,,RPC Traffic Analysis,,Monitoring the activity of remote procedure calls in communication traffic to establish standard protocol operations and potential attacker activities.
D3-PM,Detect,Platform Monitoring,,,
D3-FBA,Detect,,Firmware Behavior Analysis,,Analyzing the behavior of embedded code in firmware and looking for anomalous behavior and suspicious activity.
D3-FEMC,Detect,,Firmware Embedded Monitoring Code,,Monitoring code is injected into firmware for integrity monitoring of firmware and firmware data.
D3-FV,Detect,,Firmware Verification,,
D3-PFV,Detect,,,Peripheral Firmware Verification,Cryptographically verifying peripheral firmware integrity.
D3-SFV,Detect,,,System Firmware Verification,Cryptographically verifying installed system firmware integrity.
D3-OSM,Detect,,Operating System Monitoring,,
D3-EHB,Detect,,,Endpoint Health Beacon,"Monitoring the security status of an endpoint by sending periodic messages with health status, where absence of a response may indicate that the endpoint has been compromised."
D3-IDA,Detect,,,Input Device Analysis,Operating system level mechanisms to prevent abusive input device exploitation.
D3-MBT,Detect,,,Memory Boundary Tracking,Analyzing a call stack for return addresses which point to unexpected  memory locations.
D3-SJA,Detect,,,Scheduled Job Analysis,"Analysis of source files, processes, destination files, or destination servers associated with a scheduled job to detect unauthorized use of job scheduling."
D3-SDM,Detect,,,System Daemon Monitoring,Tracking changes to the state or configuration of critical system level processes.
D3-SFA,Detect,,,System File Analysis,
D3-SBV,Detect,,,Service Binary Verification,Analyzing changes in service binary files by comparing to a source of truth.
D3-SICA,Detect,,,System Init Config Analysis,Analysis of any system process startup configuration.
D3-USICA,Detect,,,User Session Init Config Analysis,Analyzing modifications to user session config files such as .bashrc or .bash_profile.
D3-PA,Detect,Process Analysis,,,
D3-DQSA,Detect,,Database Query String Analysis,,Analyzing database queries to detect [SQL Injection](https://capec.mitre.org/data/definitions/66.html).
D3-FAPA,Detect,,File Access Pattern Analysis,,Analyzing the files accessed by a process to identify unauthorized activity.
D3-IBCA,Detect,,Indirect Branch Call Analysis,,Analyzing vendor specific branch call recording in order to detect ROP style attacks.
D3-PCSV,Detect,,Process Code Segment Verification,,"Comparing the ""text"" or ""code"" memory segments to a source of truth."
D3-PSMD,Detect,,Process Self-Modification Detection,,"Detects processes that modify, change, or replace their own code at runtime."
D3-PSA,Detect,,Process Spawn Analysis,,
D3-PLA,Detect,,,Process Lineage Analysis,"Identification of suspicious processes executing on an end-point device by examining the ancestry and siblings of a process, and the associated metadata of each node on the tree, such as process execution, duration, and order relative to siblings and ancestors."
D3-SEA,Detect,,Script Execution Analysis,,Analyzing the execution of a script to detect unauthorized user activity.
D3-SSC,Detect,,Shadow Stack Comparisons,,Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.
D3-SCA,Detect,,System Call Analysis,,
D3-FCA,Detect,,,File Creation Analysis,Analyzing the properties of file create system call invocations.
D3-MA,Detect,Message Analysis,,,
D3-SMRA,Detect,,Sender MTA Reputation Analysis,,Characterizing the reputation of mail transfer agents (MTA) to determine the security risk in emails.
D3-SRA,Detect,,Sender Reputation Analysis,,Ascertaining sender reputation based on information associated with a message (e.g. email/instant messaging).
D3-ID,Detect,Identifier Analysis,,,
D3-HD,Detect,,Homoglyph Detection,,Comparing strings using a variety of techniques to determine if a deceptive or malicious string is being presented to a user.
D3-UA,Detect,,URL Analysis,,Determining if a URL is benign or malicious by analyzing the URL or its components.
D3-IRA,Detect,,Identifier Reputation Analysis,,
D3-DNRA,Detect,,,Domain Name Reputation Analysis,Analyzing the reputation of a domain name.
D3-FHRA,Detect,,,File Hash Reputation Analysis,Analyzing the reputation of a file hash.
D3-IPRA,Detect,,,IP Reputation Analysis,Analyzing the reputation of an IP address.
D3-URA,Detect,,,URL Reputation Analysis,Analyzing the reputation of a URL.
,Detect,,Identifier Activity Analysis,,Taking known malicious identifiers and determining if they are present in a system.
D3-UBA,Detect,User Behavior Analysis,,,
D3-ANET,Detect,,Authentication Event Thresholding,,"Collecting authentication events, creating a baseline user profile, and determining whether authentication events are consistent with the baseline profile."
D3-AZET,Detect,,Authorization Event Thresholding,,"Collecting authorization events, creating a baseline user profile, and determining whether authorization events are consistent with the baseline profile."
D3-CCSA,Detect,,Credential Compromise Scope Analysis,,Determining which credentials may have been compromised by analyzing the user logon history of a particular system.
D3-DAM,Detect,,Domain Account Monitoring,,Monitoring the existence of or changes to Domain User Accounts.
D3-JFAPA,Detect,,Job Function Access Pattern Analysis,,"Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department."
D3-LAM,Detect,,Local Account Monitoring,,Analyzing local user accounts to detect unauthorized activity.
D3-RAPA,Detect,,Resource Access Pattern Analysis,,Analyzing the resources accessed by a user to identify unauthorized activity.
D3-SDA,Detect,,Session Duration Analysis,,Analyzing the duration of user sessions in order to detect unauthorized  activity.
D3-UDTA,Detect,,User Data Transfer Analysis,,Analyzing the amount of data transferred by a user.
D3-UGLPA,Detect,,User Geolocation Logon Pattern Analysis,,Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.
D3-WSAA,Detect,,Web Session Activity Analysis,,Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.
D3-FA,Detect,File Analysis,,,
D3-DA,Detect,,Dynamic Analysis,,"Executing or opening a file in a synthetic ""sandbox"" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader."
D3-EFA,Detect,,Emulated File Analysis,,Emulating instructions in a file looking for specific patterns.
D3-FCR,Detect,,File Content Rules,,Employing a pattern matching rule language to analyze files.
D3-FH,Detect,,File Hashing,,Employing file hash comparisons to detect known malware.
D3-NI,Isolate,Network Isolation,,,
D3-BDI,Isolate,,Broadcast Domain Isolation,,Broadcast isolation restricts the number of computers a host can contact on their LAN.
D3-DNSAL,Isolate,,DNS Allowlisting,,Permitting only approved domains and their subdomains to be resolved.
D3-DNSDL,Isolate,,DNS Denylisting,,
D3-FRDDL,Isolate,,,Forward Resolution Domain Denylisting,
D3-HDDL,Isolate,,,Hierarchical Domain Denylisting,Blocking the resolution of any subdomain of a specified domain name.
D3-HDL,Isolate,,,Homoglyph Denylisting,Blocking DNS queries that are deceptively similar to legitimate domain names.
D3-FRIDL,Isolate,,,Forward Resolution IP Denylisting,Blocking a DNS lookup's answer's IP address value.
D3-RRDD,Isolate,,,Reverse Resolution Domain Denylisting,Blocking a reverse DNS lookup's answer's domain name value.
D3-RRID,Isolate,,,Reverse Resolution IP Denylisting,Blocking a reverse lookup based on the query's IP address value.
D3-ET,Isolate,,Encrypted Tunnels,,Encrypted encapsulation of routable network traffic.
D3-NTF,Isolate,,Network Traffic Filtering,,
D3-ITF,Isolate,,,Inbound Traffic Filtering,Restricting network traffic originating from untrusted networks destined towards a private host or enclave.
D3-OTF,Isolate,,,Outbound Traffic Filtering,Restricting network traffic originating from a private host or enclave destined towards untrusted networks.
D3-EI,Isolate,Execution Isolation,,,
D3-EAL,Isolate,,Executable Allowlisting,,Using a digital signature to authenticate a file before opening.
D3-EDL,Isolate,,Executable Denylisting,,Blocking the execution of files on a host in accordance with defined application policy rules.
D3-HBPI,Isolate,,Hardware-based Process Isolation,,Preventing one process from writing to the memory space of another process through hardware based address manager implementations.
D3-IOPR,Isolate,,IO Port Restriction,,Limiting access to computer input/output (IO) ports to restrict unauthorized devices.
D3-KBPI,Isolate,,Kernel-based Process Isolation,,
D3-MAC,Isolate,,,Mandatory Access Control,Controlling access to local computer system resources with kernel-level capabilities.
D3-SCF,Isolate,,,System Call Filtering,Configuring a kernel to use an allow or deny list to filter kernel api calls.
D3-DE,Deceive,Decoy Environment,,,
D3-CHN,Deceive,,Connected Honeynet,,"A decoy service, system, or environment, that is connected to the enterprise network, and simulates or emulates certain functionality to the network, without exposing full access to a production system."
D3-IHN,Deceive,,Integrated Honeynet,,The practice of setting decoys in a production environment to entice interaction from attackers.
D3-SHN,Deceive,,Standalone Honeynet,,An environment created for the purpose of attracting attackers and eliciting their behaviors that is not connected to any production enterprise systems.
D3-DO,Deceive,Decoy Object,,,
D3-DF,Deceive,,Decoy File,,A file created for the purposes of deceiving an adversary.
D3-DNR,Deceive,,Decoy Network Resource,,Deploying a network resource for the purposes of deceiving an adversary.
D3-DP,Deceive,,Decoy Persona,,"Establishing a fake online identity to misdirect, deceive, and or interact with adversaries."
D3-DPR,Deceive,,Decoy Public Release,,Issuing publicly released media to deceive adversaries.
D3-DST,Deceive,,Decoy Session Token,,An authentication token created for the purposes of deceiving an adversary.
D3-DUC,Deceive,,Decoy User Credential,,A Credential created for the purpose of deceiving an adversary.
D3-FEV,Evict,File Eviction,,,
D3-FR,Evict,,File Removal,,
D3-ER,Evict,,,Email Removal,The email removal technique deletes email files from system storage.
D3-CE,Evict,Credential Eviction,,,
D3-AL,Evict,,Account Locking,,The process of temporarily disabling user accounts on a system or domain.
D3-ANCI,Evict,,Authentication Cache Invalidation,,Removing tokens or credentials from an authentication cache to prevent further user associated account accesses.
D3-CR,Evict,,Credential Revoking,,Deleting a set of credentials permanently to prevent them from being used to authenticate.
D3-PE,Evict,Process Eviction,,,
D3-PT,Evict,,Process Termination,,Terminating a running application process on a computer system.
D3-PS,Evict,,Process Suspension,,Suspending a running process on a computer system.
